calle,piso,localidad,provincia,pais,codigo_postal
Av. Juan Domingo Peron742,1A,Hurlingham,Buenos Aires,Argentina,1234
Churruca 5368,NULL,Córdoba,Córdoba,Argentina,5678
Peralta 223,NULL,Mendoza,Mendoza,Argentina,9012
Pasaje Los Olivos852,PB,Rosario,Santa Fe,Argentina,3456
Diagonal Norte 445,3C,La Plata,Buenos Aires,Argentina,7890
Av. del Libertador 1550,5D,San Isidro,Buenos Aires,Argentina,1122
Perdiguero 4298,6E,Tigre,Buenos Aires,Argentina,3344
Boulevard Oroño 999,NULL,Rosario,Santa Fe,Argentina,5566
Avenida de Mayo 1600,4F,Buenos Aires,Buenos Aires,Argentina,7788
Camino de los Remedios 652,7G,Salta,Salta,Argentina,9900
Av. Independencia145,8H,Jujuy,Jujuy,Argentina,2233
Calle Rivadavia 2020,NULL,Neuquén,Neuquén,Argentina,4455
Calle SanMartín 303,9I,Bariloche,Río Negro,Argentina,6677
Rivadavia 742,NULL,Comodoro Rivadavia,Chubut,Argentina,8899
Pasaje Luna Llena 963,10J,Ushuaia,Tierra del Fuego,Argentina,1010
